EXCHANGE;CENTRALIZED
binance;true
bybit_spot;true
okex;true
gdax;true
kraken;true
kucoin;true
hashkey-global;true
hashkey_exchange;true
binance_us;true
coinw;true
gate;true
huobi;true
bitunix;true
bitget;true
mxc;true
crypto_com;true
bingx;true
fastex;true
bitfinex;true
luno;true
wootrade;true
coindcx;true
backpack_exchange;true
whitebit;true
bitmart;true
p2pb2b;true
xt;true
toobit;true
bitvenus_spot;true
btse;true
bigone;true
pionex;true
azbit;true
latoken;true
coinstore;true
dextrade;true
bitstamp;true
gemini;true
phemex;true
tokenize;true
bitkub;true
bitdelta;true
deribit_spot;true
korbit;true
bitso;true
nonkyc_io;true
coinspro;true
upbit;true
lbank;true
bithumb;true
deepcoin;true
biconomy;true
bitvavo;true
bydfi;true
coinex;true
slex;true
paribu;true
pointpay;true
bitflyer;true
bitbank;true
exmo;true
bitopro;true
bitazza;true
blofin_spot;true
itbit;true
independent_reserve;true
bitcointry_exchange;true
bittime;true
cex;true
xeggex;true
bitcastle;true
btcmarkets;true
foxbit;true
kuna;true
emirex;true
delta_spot;true
bitmex_spot;true
digifinex;true
weex;true
ourbit;true
hotcoin_global;true
fameex;true
tapbit;true
uniswap_v3;false
bitmax;true
uniswap_v3_arbitrum;false
bitrue;true
raydium-clmm;false
pancakeswap-v3-bsc;false
trubit;true
uniswap_v2;false
coincheck;true
uniswap-v3-base;false
cointr;true
pancakeswap-v3-arbitrum;false
uniswap_v3_polygon_pos;false
bullish_com;true
icrypex;true
pancakeswap-v3-base;false
gmo_japan;true
bitci;true
balancer;false
pancakeswap_new;false
bitstorage;true
quickswap_v3;false
uniswap-bsc;false
cetus;false
uniswap_v3_celo;false
aerodrome-base;false
pancakeswap-v3-ethereum;false
cube;true
uniswap_v3_optimism;false
max_maicoin;true
okcoin-japan;true
sunswap-v3;false
osmosis;false
uniswap-v2-base;false
pulsex;false
valr;true
saucerswap-v2;false
kanga;true
earnbit;true
ace;true
mercado_bitcoin;true
sushiswap-v3-arbitrum;false
lynex-linea;false
bitexen;true
sushiswap;false
sushiswap-v3-base;false
sunswap-v2;false
dedust;false
turbos-finance;false
huobi_japan;true
dragonswap-v2;false
coin_metro;true
apex_pro;false
vvs;false
pancakeswap-v3-linea;false
balancer-gnosis;false
wagmi-iota-evm;false
kickex;true
wigoswap;false
vertex-protocol-spot;false
magicsea-v2.1-iota-evm;N/A
astroport_neutron;false
zaif;true
btcbox;true
wagmi-kava;false
cryptal;true
metalx;false
websea;true
oku-trade-taiko;false
oku-trade-bob-network;false
coinlist;true
nominex;true
blockchain_com;true
dexlab;false
nomiswap;false
kriya-dex;false
wagmi-ethereum;false
virtuswap;false
graphlinq-hub;false
orangex;true
aerodrome-slipstream;false
probit;true
coinone;true
c_patex;true
meteora;false
orca;false
kumex;true
bit2me;true
bitcoin_com;true
fmcpay;true
curve_ethereum;false
tokpie;true
toko_crypto;true
thena-fusion;false
velodrome-finance-slipstream;false
cryptology;true
novadax;true
thruster-v3;false
uniswap-v3-avalanche;false
qmall;true
ekubo;false
alien-base-v3;false
merchant-moe-liquidity-book-mantle;false
lcx;false
bitlo;true
coinjar;true
nuri-v2;false
liquidswap-v0-5;false
balancer_arbitrum;false
nostra;false
balancer-v2-base;false
quickswap;false
equalizer;false
tanx;false
pulsex-v2;false
oku-trade-sei-v2;false
sushiswap-v2-base;false
biswap-v3-1;false
traderjoe;false
velodrome-finance-v2;false
pancakeswap-v3-zksync;false
stellaswap-v3;false
curve-base;false
tinyman;false
koinpark;true
coinzoom;true
pancakeswap_stableswap;false
jellyswap;false
kinesis_money;true
sushiswap-aptos;false
dodo_polygon;false
traderjoe-v2-2-arbitrum;false
merlinswap;false
iziswap-scroll;false
balancer_polygon;false
alexgo;false
quickswap-v3-manta-pacific;false
zkswap-finance;false
fraxswap_ethereum;false
sushiswap_arbitrum;false
uniswap-v3-zksync;false
uniswap-v3-world-chain;false
sushiswap-v3-core;false
icpswap;false
kayen;false
swapbased-v3;false
beethovenx;false
iziswap-linea;false
curve-bsc;false
sushiswap-v3-scroll;false
sushiswap_polygon_pos;false
biswap;false
pangolin;false
oku-trade-linea;false
iziswap-mode;false
sushiswap-v3-polygon;false
increment_swap;false
solidly-v3-fantom;false
9mm-v3;false
quickswap-polygon-zkevm;false
canto_dex;false
oku-trade-scroll;false
pancakeswap-v1-bsc;false
bluemove;false
dooar-polygon;false
quickswap-v3-immutable-zkevm;false
astroport-sei;false
